Year,Month,GMSL
1978,10,-17.7
1978,11,-22.2
1978,12,-25.2
1979,1,-28.0
1979,2,-26.9
1979,3,-25.8
1979,4,-26.1
1979,5,-27.5
1979,6,-27.1
1979,7,-24.7
1979,8,-19.9
1979,9,-17.3
1979,10,-14.9
1979,11,-17.2
1979,12,-15.0
1980,1,-15.2
1980,2,-14.1
1980,3,-16.1
1980,4,-15.8
1980,5,-16.1
1980,6,-16.7
1980,7,-19.2
1980,8,-21.0
1980,9,-21.0
1980,10,-19.2
1980,11,-14.0
1980,12,-9.9
1981,1,-7.8
1981,2,-6.8
1981,3,-5.0
1981,4,-4.0
1981,5,-2.7
1981,6,-2.2
1981,7,-3.9
1981,8,-3.1
1981,9,-4.1
1981,10,-2.0
1981,11,-2.9
1981,12,-4.4
1982,1,-8.2
1982,2,-9.3
1982,3,-10.6
1982,4,-13.1
1982,5,-13.5
1982,6,-14.7
1982,7,-15.8
1982,8,-14.4
1982,9,-10.3
1982,10,-4.7
1982,11,-2.1
1982,12,-1.6
1983,1,0.2
1983,2,-0.5
1983,3,1.1
1983,4,4.3
1983,5,7.5
1983,6,6.0
1983,7,1.8
1983,8,-5.9
1983,9,-6.7
1983,10,-9.7
1983,11,-6.8
1983,12,-8.9
1984,1,-7.5
1984,2,-6.3
1984,3,-3.0
1984,4,-2.2
1984,5,-1.2
1984,6,1.0
1984,7,0.6
1984,8,2.0
1984,9,-0.2
1984,10,-1.1
1984,11,-4.4
1984,12,-6.4
1985,1,-10.4
1985,2,-9.5
1985,3,-11.7
1985,4,-11.7
1985,5,-13.5
1985,6,-13.1
1985,7,-13.7
1985,8,-15.4
1985,9,-14.6
1985,10,-13.9
1985,11,-12.5
1985,12,-12.2
1986,1,-10.8
1986,2,-9.7
1986,3,-10.3
1986,4,-10.5
1986,5,-11.8
1986,6,-11.0
1986,7,-13.3
1986,8,-12.5
1986,9,-13.5
1986,10,-13.9
1986,11,-14.3
1986,12,-13.1
1987,1,-11.2
1987,2,-8.5
1987,3,-10.8
1987,4,-12.4
1987,5,-10.9
1987,6,-9.3
1987,7,-8.2
1987,8,-13.5
1987,9,-15.3
1987,10,-16.7
1987,11,-12.1
1987,12,-8.6
1988,1,-9.1
1988,2,-7.8
1988,3,-9.9
1988,4,-8.2
1988,5,-8.1
1988,6,-6.6
1988,7,-6.4
1988,8,-4.8
1988,9,-3.3
1988,10,-2.6
1988,11,-4.9
1988,12,-9.4
1989,1,-9.4
1989,2,-8.0
1989,3,-2.4
1989,4,-1.6
1989,5,-1.1
1989,6,-3.0
1989,7,-2.7
1989,8,-1.0
1989,9,0.3
1989,10,0.6
1989,11,1.1
1989,12,-0.6
1990,1,-0.2
1990,2,-2.6
1990,3,-4.4
1990,4,-3.9
1990,5,-4.1
1990,6,-0.0
1990,7,-0.2
1990,8,2.8
1990,9,3.0
1990,10,3.8
1990,11,4.3
1990,12,1.6
1991,1,3.0
1991,2,3.7
1991,3,5.0
1991,4,1.4
1991,5,-1.0
1991,6,-1.4
1991,7,1.0
1991,8,3.6
1991,9,3.8
1991,10,4.1
1991,11,4.0
1991,12,2.9
1992,1,5.0
1992,2,6.0
1992,3,4.6
1992,4,3.1
1992,5,0.6
1992,6,1.0
1992,7,0.3
1992,8,0.6
1992,9,2.2
1992,10,5.5
1992,11,5.1
1992,12,4.0
1993,1,2.7
1993,2,3.8
1993,3,6.3
1993,4,8.3
1993,5,8.6
1993,6,4.3
1993,7,0.6
1993,8,-2.4
1993,9,-5.3
1993,10,-4.1
1993,11,-5.2
1993,12,-0.6
1994,1,3.4
1994,2,4.0
1994,3,6.0
1994,4,5.1
1994,5,7.4
1994,6,6.4
1994,7,9.0
1994,8,8.3
1994,9,8.0
1994,10,7.6
1994,11,5.9
1994,12,7.8
1995,1,8.6
1995,2,9.7
1995,3,10.4
1995,4,8.6
1995,5,7.7
1995,6,6.6
1995,7,7.9
1995,8,7.3
1995,9,8.6
1995,10,10.1
1995,11,12.5
1995,12,16.3
1996,1,16.2
1996,2,16.1
1996,3,11.1
1996,4,8.4
1996,5,7.5
1996,6,7.1
1996,7,13.0
1996,8,15.6
1996,9,20.7
1996,10,18.1
1996,11,16.0
1996,12,14.2
1997,1,16.5
1997,2,19.2
1997,3,22.8
1997,4,23.1
1997,5,22.7
1997,6,22.2
1997,7,17.6
1997,8,17.7
1997,9,16.9
1997,10,22.1
1997,11,22.0
1997,12,23.9
1998,1,20.4
1998,2,16.4
1998,3,11.5
1998,4,7.1
1998,5,6.5
1998,6,7.2
1998,7,9.5
1998,8,10.1
1998,9,11.6
1998,10,9.9
1998,11,8.9
1998,12,8.9
1999,1,12.5
1999,2,15.8
1999,3,20.7
1999,4,19.9
1999,5,21.9
1999,6,21.3
1999,7,23.2
1999,8,22.7
1999,9,22.2
1999,10,20.3
1999,11,16.2
1999,12,14.0
2000,1,12.8
2000,2,15.5
2000,3,19.4
2000,4,22.2
2000,5,26.2
2000,6,25.9
2000,7,27.1
2000,8,22.4
2000,9,20.0
2000,10,16.7
2000,11,17.8
2000,12,19.8
2001,1,23.8
2001,2,24.2
2001,3,27.0
2001,4,24.8
2001,5,25.3
2001,6,25.7
2001,7,27.1
2001,8,29.8
2001,9,29.9
2001,10,27.6
2001,11,24.5
2001,12,22.1
2002,1,23.1
2002,2,24.3
2002,3,25.9
2002,4,24.9
2002,5,26.5
2002,6,29.2
2002,7,29.4
2002,8,28.5
2002,9,30.0
2002,10,31.4
2002,11,34.2
2002,12,32.9
2003,1,31.8
2003,2,30.2
2003,3,29.3
2003,4,33.5
