Year,Month,GMSL
2013,1,70.5
2013,2,65.7
2013,3,67.0
2013,4,69.8
2013,5,72.0
2013,6,71.5
2013,7,71.2
2013,8,71.6
2013,9,68.8
2013,10,66.4
2013,11,59.7
2013,12,58.5
2014,1,58.99653444290162
2014,2,59.21237001419068
2014,3,60.93341522216798
2014,4,60.85986003875733
2014,5,60.83221597671509
2014,6,59.08767232894898
2014,7,58.67207040786744
2014,8,58.78643693923951
2014,9,58.98705215454102
2014,10,58.839356136322024
2014,11,58.430400371551514
2014,12,58.12733564376832
